Month,Year,Region,Dengue_Cases,Dengue_Deaths,Date,Is_Outbreak,rfh,rfh_avg,rfh_lag1,rfh^2,rfh rfh_avg,rfh rfh_lag1,rfh_avg^2,rfh_avg rfh_lag1,rfh_lag1^2
September,2020,BARMM,16,8,2020-09-01,0,0.2023464238262959,0.2942599835354754,0.5549836017514475,-0.09052440168083188,0.02121758210000859,0.17587257280681123,0.045506728744271994,0.31336829445828573,0.20838469423192138
October,2020,BARMM,13,9,2020-10-01,0,1.173578413536997,0.32070778246042664,0.23847723795102788,0.8906703237924222,0.5911263226862853,0.5059858049528065,0.0717735326509897,0.11866695850833735,-0.06534994890981032
November,2020,BARMM,15,1,2020-11-01,0,-0.09412892727819813,-0.11650914573671484,1.216215713408165,-0.3004598620355753,-0.28989590834812673,0.26839891971490937,-0.3219593615929967,0.4244241874440778,0.9353290641261585
December,2020,BARMM,23,0,2020-12-01,0,0.10959156996113048,-0.43733839124206664,-0.059984263390038935,-0.16070831959799603,-0.3241812834166346,-0.16930094337161272,-0.5560468859930342,-0.38554032957272166,-0.27945424830635535
January,2016,CAR,579,4,2016-01-01,0,-1.2976408608291092,-1.6290997105981968,-1.2715587744963361,-0.7223962111932968,-0.8980980289032143,-0.7977067229288096,-1.0191660775836562,-0.9631151076385372,-0.7097692902420938
February,2016,CAR,276,1,2016-02-01,0,-1.2780158710989962,-1.6244696209253477,-1.2715587744963361,-0.7210536201669184,-0.8965589300326812,-0.7968995131319548,-1.0186060807245134,-0.9629282673799384,-0.7097692902420938
March,2016,CAR,191,0,2016-03-01,0,-1.267409478095815,-1.4126684817178892,-1.2518023128652709,-0.7202515874178417,-0.8867997016267328,-0.7954735256000927,-0.9826540271076171,-0.9515243989994201,-0.7084000384225436
April,2016,CAR,226,1,2016-04-01,0,-1.1064717690667298,-1.1054477828008542,-1.2411248654223395,-0.7015015731319878,-0.8407347617307068,-0.7868222069187903,-0.8945541191788363,-0.9347797367253912,-0.7075820791337983
May,2016,CAR,504,0,2016-05-01,0,0.2387722908434178,0.22702027082829868,-1.079109001100847,-0.06184084926533097,0.012766441334242802,-0.6362906156017359,-0.019852525759359002,-0.7657774853267386,-0.6884597323632031
June,2016,CAR,1358,3,2016-06-01,1,-0.2872920796274307,0.054563712988926316,0.2751471294515475,-0.41469667697584955,-0.3282737074579966,-0.2154042515272576,-0.1781661022298314,0.008871468143325394,-0.03609680661670967
July,2016,CAR,2769,10,2016-07-01,1,0.028750892564865488,1.0150685701631847,-0.2544414560003128,-0.21853239854223547,0.19578532089347958,-0.2893218934727503,0.8742266237690111,0.030984810888691122,-0.39595954563321334
August,2016,CAR,2179,2,2016-08-01,1,1.6027415772739066,1.7423505444268519,0.06371875400500364,1.4674815266001062,1.9578317080686178,0.5596426299146168,1.9478391805576303,0.6290673866231787,-0.1958998923965096
September,2016,CAR,538,548,2016-09-01,0,0.3488797458433825,1.0756640725065758,1.6482539307237578,0.028708856487965496,0.4656513542437273,0.8584503078893484,0.9545693423314795,1.746508112406795,1.523594420786412
October,2016,CAR,261,319,2016-10-01,0,1.141225938727795,0.2527061210122656,0.3859922172664558,0.8507461906030848,0.527098530916299,0.6056951667270506,0.0048743352288390255,0.18012219789531042,0.056251009603156474
November,2016,CAR,161,0,2016-11-01,0,0.4736160752811087,-0.002756700443668304,1.1836465026198784,0.1382710090918342,0.02850680324825922,0.7044138212206151,-0.22781618500271225,0.4953804715870517,0.8946121287829183
December,2016,CAR,122,0,2016-12-01,0,-0.5807038073439466,-0.9188139057245791,0.511564181401296,-0.5541926080442171,-0.6917444297439198,-0.30470036684455465,-0.820253341109717,-0.41258550022773954,0.1679888164700403
January,2017,CAR,166,0,2017-01-01,0,-1.1106740922891094,-1.6290997105981968,-0.5498188101011009,-0.7021481514820859,-0.8851909674984098,-0.7192908158370571,-1.0191660775836562,-0.9055774804649269,-0.5382255474777499
February,2017,CAR,123,1,2017-02-01,0,-1.2142504958195088,-1.6244696209253477,-1.0833394765633073,-0.7154238952864491,-0.8920803023993582,-0.7817900198749809,-1.0186060807245134,-0.947662015477259,-0.6891191502834477
March,2017,CAR,76,0,2017-03-01,0,-1.2015905683930226,-1.4126684817178892,-1.1876097600321533,-0.7140755646854511,-0.8785576270589365,-0.7878619435267685,-0.9826540271076171,-0.9422416043686834,-0.7026585200564162
April,2017,CAR,76,0,2017-04-01,0,-0.8441911413735306,-1.1054477828008542,-1.1748650211103455,-0.6444876953127887,-0.7869715251043482,-0.7617059991596598,-0.8945541191788363,-0.9190949779999465,-0.7012834146873957
